speaker,text
29_SETH,Excuse me...
29_ENV,<NONVERBAL>
29_LARR,"Hey, how are you guy."
29_SETH,Are you Larry. Are you Larry.
29_LARR,Yes. How are you.
29_SETH,Are you. You're the guy.
29_LARR,Hunh.
29_SETH,You're the guy to talk to then.
29_LARR,I'm the guy. Yeah...
29_SETH,I didn't know if I had the right place.
29_LARR,"Yeah, you got it. I just."
29_SETH,What are you doing there.
29_LARR,"You're probably trying t-. Yeah this is strange, what's this guy doing..."
29_SETH,<NONVERBAL>
29_LARR,"I'm putting water in a twenty-six gallon container, inside my truck..."
29_ENV,<NONVERBAL>
29_SETH,Wow. That's quite a p-.
29_LARR,"Cause I had to haul it to a property, which doesn't have any water, and I have to spray the road."
29_SETH,Ah...
29_LARR,Cause the road before you can drive on it.
29_SETH,Interesting.
29_LARR,"It needs more uh... more stability. Evidently. So give me one second to lock this thing, and then <XX>."
29_SETH,"Is that to keep the dust, keep the dust down."
29_LARR,"Well, no, it's not that so much, it's uh..."
29_ENV,<NONVERBAL>
29_LARR,"They put, they put a uh, a type of uh base on it that needs water and..."
29_ENV,<NONVERBAL>
29_LARR,That just hasn't happened yet.
29_SETH,Oh...
29_LARR,<XX>.
29_SETH,I see. So there's some chemical reaction that has to take place.
29_LARR,Yeah. I guess a good a- analogy...
29_ENV,<NONVERBAL>
29_LARR,"Chelsea, no..."
29_ENV,<NONVERBAL>
29_LARR,That should hold it in there. Okay. Nice to meet you.
29_SETH,How you doing. Good to see you.
29_LARR,What's your name...
29_ENV,<NONVERBAL>
29_SETH,Seth.
29_LARR,Seth. Okay.
29_SETH,Here's my card here.
29_LARR,Thanks Seth...
29_ENV,<NONVERBAL>
29_LARR,I think it's warming up a bit here.
29_SETH,Is this the house we're looking at.
29_LARR,I'll take you down in the basement.
29_SETH,Is the furnace down in the basement.
29_LARR,"What's left of it, yeah..."
29_SETH,<NONVERBAL>
29_LARR,We had all these.
29_SETH,Is it a old system.
29_LARR,"Yeah. We had the asbestos uh all removed from it and, and uh."
29_SETH,Oh really.
29_LARR,So that's been done.
29_SETH,I was j-. I was just at a place that does asbestos removal.
29_LARR,"Yeah, where."
29_SETH,Cal. Cal Tech.
29_LARR,They're the guys that did it.
29_SETH,Are they. Alright.
29_LARR,Yeah...
29_SETH,<NONVERBAL>
29_LARR,"That's down in Berkeley, right."
29_SETH,No they're... they've got an office here in Nappa.
29_LARR,Cal Tech. What was the. No. Synergy. That's who.
29_SETH,Synergy. Dif- different one.
29_LARR,I I'm sorry. It's a different outfit. I didn't know they had one up here.
29_SETH,Yeah. Though I think they had just recently moved here.
29_LARR,Unhunh.
29_SETH,Cause I was wondering t-.
29_LARR,"So where's the man with the uh camera, and the."
29_SETH,Oh I got the. I got my recorder right here...
29_LARR,That's pretty clever.
29_SETH,"Yeah, my brother is uh, teaches linguistics, and I guess he's doing this study."
29_LARR,"Oh, okay."
29_SETH,And they just want business conversations.
29_LARR,Alright. Well.
29_SETH,Wow.
29_LARR,Here's the animal.
29_SETH,My gosh...
29_LARR,<NONVERBAL>
29_SETH,Wow.
29_LARR,They took uh some of it with em obviously.
29_SETH,Did this used to be... used to be an old oil.
29_LARR,Yeah. I think it was an old.
29_SETH,Fire.
29_LARR,"I think it was an old, see the oil tank here. Isn't that an oil tank."
29_SETH,Yeah.
29_LARR,That's what my guess is. And uh...
