speaker,text
59_CAM,"Oh my God, I think they're all nuts."
59_JO,So she had to have it...
59_CAM,<NONVERBAL>
59_JO,"She had to have the extra one. So I got, Dad had made this other little thing, it's just like a little house, so I put mine out there."
59_WESS,"Yeah, maybe you Neil."
59_CAM,Isn't she forty.
59_WESS,We'll see you...
59_CAM,<NONVERBAL>
59_JO,Forty-three.
59_CAM,My goodness...
59_JO,But I m-. See. I knew. I said to Wess.
59_WESS,What'd I do with my hearing aid now.
59_JO,"I knew there'd be trouble, because."
59_WESS,Well that was Neil on the phone.
59_JO,They.
59_WESS,"To say, well you d-... the Packers got their merry Christmas."
59_JO,Oh did they.
59_CAM,Oh did they win.
59_JO,Did they win.
59_WESS,"Well yeah, because uh, the t- the, Steelers, were on the one yard line."
59_CAM,Unhunh.
59_WESS,For four downs. And they didn't get in.
59_CAM,Wow.
59_WESS,"And then they were on the ten yard line, with fourth down to go, and they had inches to go, the guy didn't even get up to the line of scrimmage, that was had the ball."
59_CAM,Nice.
59_WESS,"But he must've pushed it up there or something, I don't know, how he got it up there. But they gave it to them then, then, that'd give em another four down- uh, four downs on the one yard line."
59_JO,So it's over with.
59_WESS,So it's over with.
59_CAM,They won.
59_WESS,Green Bay won twenty-four to nineteen.
59_CAM,So now we can have a merry Christmas.
59_JO,Uh-oh...
59_CAM,<NONVERBAL>
59_JO,"Yes. That's what Patty said-, Oh, I'm praying Mom, that they win because, she said..."
59_CAM,<NONVERBAL>
59_JO,"Otherwise, everybody'll be mad..."
59_CAM,<NONVERBAL>
59_WESS,"Kathy, Wesley..."
59_CAM,Oh.
59_WESS,Tommy.
59_JO,Y- not Wesley. Wesley never gets mad...
59_CAM,"<XX>, Is it, Is Fred in there crying."
59_WESS,Oh...
59_CAM,<NONVERBAL>
59_JO,Is Fred crying.
59_WESS,No.
59_JO,Did he win his fifty bucks.
59_WESS,Well he won fifty bucks.
59_JO,Good.
59_CAM,He won fifty bucks-.
59_WESS,"His score was uh, four and nine..."
59_CAM,Oh.
59_WESS,So he won fifty buck-. I wonder if he's got the right teams...
59_JO,<NONVERBAL>
59_WESS,Hey Fred.
59_FRED,Yeah.
59_JO,Well.
59_WESS,You had four and nine.
59_JO,"No, Wesley n- na-. I w- gotta say that about Wesley."
59_WESS,But did you have the Packers winning.
59_JO,He never gets upset about a football game.
59_CAM,Hm.
59_FRED,I had four for Green Bay.
59_JO,"After it's over, it's over. And he was that way when he was a little kid..."
59_FRED,<XX>.
59_WESS,Oh. Four for Green Bay.
59_JO,"You know, but Tommy. He's another one."
59_WESS,Okay.
59_JO,But he's getting a lot better...
59_FRED,<XX>.
59_JO,Because Donna has really got mad at him...
59_FRED,<XX>.
59_WESS,Yeah I'll tell him.
59_JO,"You know. I mean that one time the Green Bay Packer loss, it was on his birthday. Wasn't this year, it was last year."
59_WESS,"Yeah, he had Pittsburgh sco-."
59_JO,He wouldn't go out to eat with her folks.
59_WESS,He had Green Bay four.
59_CAM,Hm.
59_WESS,And Pittsburgh nine.
59_CAM,So he won.
59_WESS,"And the score was twenty-four to nineteen, in favor of Green Bay, so he won fifty buck."
59_JO,Good...
59_CAM,<XX>.
59_JO,Well Freddy is gonna be happy.
59_CAM,So where are you taking us to dinner.
59_FRED,"I would have rather that pass be completed, and Detroit won a title, but."
59_JO,Oh no...
59_CAM,<NONVERBAL>
59_FRED,"But, a consolation of fifty-."
59_WESS,But then too you wanna live Fred...
59_FRED,<NONVERBAL>
59_CAM,<NONVERBAL>
59_JO,<NONVERBAL>
59_WESS,<NONVERBAL>
59_FRED,But a consoloation of fifty dollars isn't bad.
59_WESS,No.
59_JO,Oh I guess not.
59_FRED,"It makes the lo-. It makes the, the loss not so bad."
59_JO,Where do you take these tickets out...
59_FRED,<NONVERBAL>
59_JO,At the. At the bar.
59_FRED,Oh it's a it's a pool.
59_JO,"Oh, at the bar."
59_FRED,Where you get certain numbers.
59_WESS,"Yeah, what Charlie t- took four or five chances on t-."
59_JO,Oh.
59_CAM,At Em 'N Em's.
59_WESS,Two ten dollar.
59_FRED,"Mhm. Yeah, at Em 'N Em's."
59_JO,Oh.
59_WESS,"Yeah, Charlie had two ten-dollar ones, and four five-dollar ones."
59_JO,Oh that's silly.
59_CAM,The poochy. Poochy poochy poochy...
59_FRED,<NONVERBAL>
59_JO,<NONVERBAL>
59_WESS,Poochy poochy poochy.
59_FRED,"Oh my God, look at all those gifts..."
59_JO,"Yeah but they're, a lot of em are not a lot. You know..."
59_WESS,<NONVERBAL>
59_JO,I mean the little kids always like.
59_CAM,Mm.
59_JO,"Raymond is a funny little boy. I mean, not a little boy anymore, but, I mean..."
59_FRED,<NONVERBAL>
59_JO,He always has been. For years. He always thanked me for the socks.
59_CAM,For the socks.
59_JO,"Because, I don't think Kathy ever buys him socks."
