speaker,text
21_AUD1,Come on Walter.
21_AUD2,Amen Walter.
21_AUD3,Walt.
21_AUD4,Amen Walt.
21_AUD5,Walt.
21_AUD6,Good job...
21_AUD7,<NONVERBAL>
21_AUD8,Woo.
21_WALT,Good morning...
21_MANY,<NONVERBAL>
21_WALT,"Amen. Well, It's certainly been a, is this one working."
21_MANY,Yeah.
21_WALT,Can you hear me okay.
21_AUD1,Yeah.
21_AUD2,Amen.
21_WALT,"Been a k- great morning, so far, um."
21_MANY,Amen.
21_WALT,"I really appreciate Brian's, uh, communion this morning."
21_AUD,Yeah.
21_MANY,Amen.
21_WALT,"Um, Sometimes we want the blessings, but we don't wanna drink the cup... right..."
21_AUD,<NONVERBAL>
21_MANY,Yeah.
21_WALT,"So I don't know about you, when you were reflecting, as we were taking the uh, the wine there, I was thinking, Lord, help me to drink the cups."
21_MANY,Amen.
21_WALT,Help me to drink the cups... and thank you Brian...
21_AUD,<NONVERBAL>
21_WALT,For reminding us through God's word of the cups.
21_AUD1,Amen.
21_AUD2,Yep.
21_WALT,"Uh that we do need to drink... that was really great... thanks... a couple of announcements, before we go ahead and uh get started here on the sermon, Number one is, uh, those of you who took those medical forms, for the Hope Clinic, downtown Boston, the medical clinic, we need to turn those in, today. If you do not have them, I need to turn them in on Tuesday, at my meeting. So, uh, if you could get them to me, I would be d- deeply appreciative. Also, uh, church service next Sunday is at the Boston Garden. We know that."
21_AUD1,Woo.
21_AUD2,Does it start at ten.
21_WALT,"Okay, now there's a change in time. It's at nine thirty."
21_AUD,Amen.
21_WALT,"It's not at ten, It's at nine thirty. What time is it at."
21_MANY,Nine thirty.
21_WALT,"Right. Okay. Now we all remember, it's at nine thirty..."
21_AUD,<NONVERBAL>
21_WALT,"And, let me say, they may examine bags again."
21_AUD,Alright.
21_WALT,"Like they did, uh, several weeks ago, so my suggestion is, that we get there plenty early."
21_AUD,Yep.
21_WALT,Okay.
21_AUD,Amen.
21_WALT,"Also, um, we have the marriage get away."
21_AUD1,Amen.
21_MANY,Amen.
21_WALT,"Coming up, the first weekend in April, please uh, get your registration, uh to uh, Craige Laibi, uh and that's gonna be a really exciting time. I'm looking forward to that."
21_MANY,Amen.
21_WALT,"Also next Saturday, we have the women's day. Amen..."
21_MANY,<NONVERBAL>
21_WALT,"And uh, That's gonna be a tremendous time, if you're visiting with us, and you are a woman, then uh..."
21_AUD,<NONVERBAL>
21_WALT,"I would suggest you see someone about it, because it's g- really gonna be a life-changing event, next Saturday..."
21_AUD,<XX>.
21_WALT,"Um, So we're excited about that as well. Before we go ahead and get started, let's go to our... our Father in prayer. Father God in heaven, we are just so grateful that we're able to, uh uh just be here. Lord to have life. God I'm grateful that I have legs that I can walk on, and, eyes that I can see..."
21_AUD,<NONVERBAL>
21_WALT,"And, hands that I can touch. And God I'm just grateful that you've given me children..."
21_MANY,<NONVERBAL>
21_WALT,"Uh, that bring me so much joy. Lord I'm grateful for the wife, that you've given me, who has, truly stuck by my side, for these last nineteen years... and a half. God, I'm just grateful for your church. I'm grateful for every single brother and sister, that is here. Who has impacted and changed my life. God I'm grateful for those that aren't here that, have changed my life and impacted me, and I'm just grateful to be in your kingdom."
21_AUD,Mm.
21_WALT,"Lord, you're such a good God..."
21_MANY,<NONVERBAL>
21_WALT,"You're so patient and kind. Merciful. Strong. Full of wisdom. And mercy. And God, we just owe you our lives, And we thank you for our lives, and, we pray that our lives will be, uh in any way we can, worthy... of what you've called us to..."
21_MANY,<NONVERBAL>
21_WALT,"Lord we love you, we look forward to the day of being in heaven with you..."
21_MANY,<NONVERBAL>
21_WALT,"Celebrating, partying."
21_AUD,Amen.
21_WALT,In a spiritual way...
