speaker,text
48_LEA,"Oh, that's a pretty package. Says to Mom from Judy, When did you get a chance to wrap this. At home."
48_JUDY,Mhm.
48_LEA,"Oh. Look at that, What is this..."
48_X,<NONVERBAL>
48_JUDY,<NONVERBAL>
48_LEA,<NONVERBAL>
48_JUDY,<NONVERBAL>
48_LEA,Oh my gosh...
48_TIM,<NONVERBAL>
48_LEA,Look at that...
48_JUDY,<NONVERBAL>
48_TIM,A Mickey Mouse watch.
48_LEA,That's just what I always wanted.
48_TIM,Yeah...
48_JUDY,<NONVERBAL>
48_DAN,<NONVERBAL>
48_LEA,I always said I wanted a Mickey Mouse watch...
48_TIM,<XX>.
48_LEA,Hunh.
48_JUDY,Hm.
48_TIM,Yep...
48_JUDY,<NONVERBAL>
48_LEA,Oh... oh...
48_JUDY,<NONVERBAL>
48_LEA,"Oh, that's so sweet, come here."
48_JUDY,Aw...
48_LEA,<NONVERBAL>
48_JUDY,<NONVERBAL>
48_LEA,"Oh, that's super..."
48_JUDY,<NONVERBAL>
48_LEA,<NONVERBAL>
48_TIM,See and I should take a.
48_LEA,I'm always talking about-.
48_TIM,Let me take a picture of that.
48_DAN,Hm...
48_JUDY,<NONVERBAL>
48_LEA,I'm always talking about this Mickey Mouse watch.
48_TIM,"Well, uh, I just, push down on this thing, right."
48_JUDY,"Yeah, you wait until you see the green light. In there."
48_TIM,Gotta do it like professionals here...
48_LEA,<NONVERBAL>
48_TIM,"Oops, where's the green light..."
48_JUDY,<NONVERBAL>
48_LEA,<NONVERBAL>
48_TIM,There's a green light...
48_LEA,<NONVERBAL>
48_TIM,Are you ready.
48_LEA,Oh yeah.
48_JUDY,Yeah...
48_TIM,<NONVERBAL>
48_JUDY,<NONVERBAL>
48_LEA,"Oh, thank you Judy, that's so sweet of you."
48_JUDY,"Oh, well."
48_LEA,Oh that's.
48_JUDY,I hope it's not too big.
48_LEA,How do you open this.
48_JUDY,Um.
48_LEA,Did you ever open it.
48_JUDY,Oh yeah.
48_LEA,How'd you open it.
48_JUDY,"Um it's, let's see it, well, it's supposed to open on the side. Yeah there we go."
48_TIM,You got it.
48_JUDY,Yeah.
48_TIM,Slides out.
48_LEA,Oh...
48_TIM,<NONVERBAL>
48_JUDY,"I don't. I hope, n-... you know, the face is not too big."
48_LEA,"Oh, it's n-... it's perfect."
48_JUDY,Yeah.
48_LEA,"When you get old, you need a bigger face..."
48_JUDY,<NONVERBAL>
48_TIM,<NONVERBAL>
48_DAN,<NONVERBAL>
48_LEA,"I'm almost, ready for a bigger one than this. Oh this is great..."
48_TIM,"Alright, you want me to set it for you."
48_LEA,Yeah.
48_TIM,Before you get all.
48_LEA,"Mhm. Oh, that's so neat, Oo."
48_JUDY,Mm.
48_TIM,Wait.
48_LEA,Couldn't please me more.
48_JUDY,And here's the.
48_LEA,How did you know I wanted a Mickey Mouse wa-.
48_JUDY,Aw. Everyone wants a Mickey Mouse watch sometime in their life...
48_LEA,<NONVERBAL>
48_DAN,I've got one now.
48_LEA,Oh you got a Mickey too.
48_JUDY,Well it's.
48_DAN,"Yeah, I got it from Disney Land."
48_LEA,"Oh, how neat. Okay, open this one... uh This is the one I want you to open now."
48_JUDY,This one.
48_LEA,Mhm.
48_JUDY,Oh right.
48_LEA,"And, this is the one I want you to open. Right here."
48_DAN,What does this stuff smell like.
48_JUDY,Hm.
48_DAN,Can you even smell it on me.
48_JUDY,"Mm, smells good."
48_LEA,Smells good.
48_DAN,I need to go wash my hands.
48_LEA,My favorite kind. Hm.
48_JUDY,What kind is it.
48_LEA,Mm.
48_JUDY,Oh.
