speaker,text
02_JAMI,How can you teach a three-year-old to tap dance.
02_HARO,"I can't imagine teaching a. Yeah, really..."
02_JAMI,<NONVERBAL>
02_MILE,Who suggested this to em.
02_HARO,"I have no idea. It was probably my sister-in-law's idea because, I think they saw that movie."
02_JAMI,Tap... <XX> <XX>.
02_HARO,What was the.
02_MILE,They had.
02_HARO,The movie with that really hot tap dancer.
02_JAMI,Oh that kid.
02_MILE,"He was actually here two weeks ago, and I missed him."
02_JAMI,At the at the jazz tap thing or whatever.
02_HARO,Was he a little kid.
02_MILE,No he's sixteen now.
02_JAMI,"No he's like. Yeah he's a teenager, but he teaches these classes in New York."
02_MILE,"That boy, he's supposed to be awesome."
02_JAMI,Yeah. Really fast.
02_PETE,Hm.
02_HARO,But I'm sure that was the the impetus.
02_MILE,Have you seen him.
02_JAMI,No. I just read an article on him.
02_MILE,You you probably read the same Examiner article I read.
02_JAMI,"Yeah, probably, yeah."
02_MILE,"Talking about how Gregory Hines said, he doesn't realize a human being can't tap that fast."
02_JAMI,Right. Right...
02_PETE,<NONVERBAL>
02_JAMI,Yeah.
02_MILE,"And they were talking about how, he's teaching these classes."
02_PETE,Hm.
02_MILE,And I guess he really goes fast. And.
02_JAMI,Yeah.
02_MILE,He k-.
02_JAMI,He doesn't explain anything precisely.
02_MILE,"He has to double it down to like one fifth speed or something, before they can g- pick it up-."
02_HARO,Well I'm sure Thomas is all over it.
02_JAMI,Probably <XX> <XX>.
02_HARO,I mean he has a bro-...
02_MILE,<XX> could have seen him.
02_HARO,I guess that means his broken leg is doing okay.
02_PETE,"I was wondering about that, I was imagining he had broke an arm or something."
02_JAMI,Oh yeah.
02_PETE,But it was his leg.
02_HARO,Yeah.
02_PETE,"That's like, I guess that he was being hauled around in a little wagon and stuff."
02_HARO,Right. He healed very quickly.
02_JAMI,"Guess kids' bones, just like grow back really fast."
02_PETE,Mhm.
02_HARO,Yeah. I think they're really soft to start with.
02_JAMI,They're made of rubber. Th- that's it.
02_HARO,"That's why b-, little kids usually don't break their legs anyway."
02_PETE,Cause they're so <XX>.
02_JAMI,Cause they're made of rubber.
02_MILE,"But they have more cartilage than w-, you know."
02_HARO,"Yeah, aren't they real s-, aren't their k- legs pretty soft."
02_MILE,"Yeah, there's less calcium uh deposits in them. And also."
02_PETE,Mm.
02_MILE,"They're still growing. And the way bones grow is, you make cartilage, and then you deposit calcium in it."
02_HARO,"Oh, and then that turns into hard bone."
02_MILE,So that's why they always have more flexibility. Cause as they're growing.
02_PETE,Hm.
02_MILE,You're making cartilage. So it al-.
02_PETE,Mhm.
02_MILE,"They always have that, until they reach adulthood, in which case."
02_HARO,They get old and cranky like the rest of us.
02_MILE,It stops...
02_JAMI,<NONVERBAL>
02_PETE,Unhunh...
02_JAMI,<NONVERBAL>
02_PETE,And then they break.
02_JAMI,Old and rickety and brittle.
02_PETE,Mhm.
02_HARO,"Mhm, uncoordinated and unflexible."
02_PETE,Right.
02_HARO,Stiff.
02_JAMI,Inflexible.
02_PETE,That too.
02_MILE,"What are you planning on doing with dancing, Harold. You were taking some classes last fall."
02_HARO,I'll take a few more... as a.
02_JAMI,You will.
02_HARO,"It turns out as a spouse, I get in free..."
02_PETE,Oh really.
02_HARO,So.
02_PETE,That's not bad.
02_JAMI,"To group classes, yeah."
02_PETE,Hm.
02_HARO,"So, I should do that."
02_MILE,Oh really.
02_JAMI,Mhm.
02_MILE,That's why you married her... ...
02_JAMI,Some benefit.
02_PETE,Mm.
02_JAMI,Hunh...
02_MILE,<NONVERBAL>
02_PETE,Mhm...
02_JAMI,<NONVERBAL>
02_HARO,Better than nothing...
02_MILE,<NONVERBAL>
02_PETE,<NONVERBAL>
02_JAMI,"Oh, I cannot believe you said that..."
02_PETE,<NONVERBAL>
02_JAMI,What a jerk you are...
02_PETE,<NONVERBAL>
02_MILE,<NONVERBAL>
02_JAMI,Aren't you guys gonna stick up for me... and beat up on him or something.
02_MILE,He's bigger than I am...
02_PETE,<XX>.
02_MILE,He's not bigger than you.
02_PETE,No.
02_HARO,But he's my...
02_MILE,<NONVERBAL>
02_HARO,He's my friend.
02_PETE,Tha- that's right...
02_MILE,<NONVERBAL>
02_JAMI,<NONVERBAL>
02_PETE,You know who I'll stick up for...
02_MILE,<NONVERBAL>
02_JAMI,<NONVERBAL>
02_PETE,I stuck up for you today at that store.
02_HARO,That's true.
02_JAMI,You did. You made me get the.
02_PETE,Mhm.
02_JAMI,Um.
02_PETE,That's right.
02_JAMI,The green scarf. That's right. He was my fashion consultant today.
02_PETE,Right...
02_MILE,Hm...
02_PETE,<NONVERBAL>
02_HARO,I wasn't.
02_PETE,That's right.
02_JAMI,Well you-. I don't know.
02_HARO,"We were at this dumb store, and the clerk kept trying to keep us interested."
02_PETE,Hm.
02_HARO,While she was buying.
02_PETE,That's right...
02_MILE,<NONVERBAL>
02_PETE,Don't you wanna try on the men's clothes... <XX>.
02_JAMI,"I'm the one who suggested that, so you wouldn't be so bored..."
02_PETE,Well I-.
